experiment-id,analyser-qos,instancecount,publisher-qos,delay,topic,message-rate,loss-rate,out-of-order-rate,inter-message-gap
experiment0-1-0-0,0,1,0,0,counter/1/0/0,414.35,0,0,1
experiment0-1-0-1,0,1,0,1,counter/1/0/1,299.18333333333334,0,0,2
experiment0-1-0-2,0,1,0,2,counter/1/0/2,211.03333333333333,0,0,3
experiment0-1-0-4,0,1,0,4,counter/1/0/4,150.05,0,0,5
experiment0-1-1-0,0,1,1,0,counter/1/1/0,367.8666666666667,0,0,1
experiment0-1-1-1,0,1,1,1,counter/1/1/1,278.73333333333335,0,0,2
experiment0-1-1-2,0,1,1,2,counter/1/1/2,205.73333333333332,0,0,3
experiment0-1-1-4,0,1,1,4,counter/1/1/4,150.85,0,0,5
experiment0-1-2-0,0,1,2,0,counter/1/2/0,430.9166666666667,0,0,0
experiment0-1-2-1,0,1,2,1,counter/1/2/1,314.06666666666666,0.010612331529236973,0,0
experiment0-1-2-2,0,1,2,2,counter/1/2/2,230.01666666666668,0,0,0
experiment0-1-2-4,0,1,2,4,counter/1/2/4,152.5,0,0,5
experiment0-2-0-0,0,2,0,0,counter/1/0/0,495.8666666666667,0,0,1
experiment0-2-0-0,0,2,0,0,counter/2/0/0,495.6666666666667,0,0,1
experiment0-2-0-1,0,2,0,1,counter/1/0/1,329.0833333333333,0,0,2
experiment0-2-0-1,0,2,0,1,counter/2/0/1,328.81666666666666,0,0,2
experiment0-2-0-2,0,2,0,2,counter/1/0/2,254.86666666666667,0,0,3
experiment0-2-0-2,0,2,0,2,counter/2/0/2,254.88333333333333,0,0,3
experiment0-2-0-4,0,2,0,4,counter/1/0/4,153.36666666666667,0,0,5
experiment0-2-0-4,0,2,0,4,counter/2/0/4,153.35,0,0,5
experiment0-2-1-0,0,2,1,0,counter/1/1/0,473.53333333333336,0,0,0
experiment0-2-1-0,0,2,1,0,counter/2/1/0,473.5833333333333,0,0,0
experiment0-2-1-1,0,2,1,1,counter/1/1/1,320.8666666666667,0,0,2
experiment0-2-1-1,0,2,1,1,counter/2/1/1,320.8333333333333,0,0,2
experiment0-2-1-2,0,2,1,2,counter/1/1/2,247.45,0,0,3
experiment0-2-1-2,0,2,1,2,counter/2/1/2,247.3,0,0,3
experiment0-2-1-4,0,2,1,4,counter/1/1/4,151.73333333333332,0,0,5
experiment0-2-1-4,0,2,1,4,counter/2/1/4,151.86666666666667,0,0,5
experiment0-2-2-0,0,2,2,0,counter/1/2/0,414.03333333333336,0,0,0
experiment0-2-2-0,0,2,2,0,counter/2/2/0,413.6,0,0,0
experiment0-2-2-1,0,2,2,1,counter/1/2/1,316.05,0,0,0
experiment0-2-2-1,0,2,2,1,counter/2/2/1,316.05,0,0,0
experiment0-2-2-2,0,2,2,2,counter/1/2/2,234.91666666666666,0,0,0
experiment0-2-2-2,0,2,2,2,counter/2/2/2,235.01666666666668,0,0,3
experiment0-2-2-4,0,2,2,4,counter/1/2/4,156.31666666666666,0,0,0
experiment0-2-2-4,0,2,2,4,counter/2/2/4,156.23333333333332,0,0,5
experiment0-3-0-0,0,3,0,0,counter/1/0/0,390.01666666666665,0,0,1
experiment0-3-0-0,0,3,0,0,counter/2/0/0,390.23333333333335,0,0,1
experiment0-3-0-0,0,3,0,0,counter/3/0/0,390.3,0,0,1
experiment0-3-0-1,0,3,0,1,counter/1/0/1,311.6666666666667,0,0,2
experiment0-3-0-1,0,3,0,1,counter/2/0/1,311.7,0,0,2
experiment0-3-0-1,0,3,0,1,counter/3/0/1,311.9,0,0,2
experiment0-3-0-2,0,3,0,2,counter/1/0/2,235.63333333333333,0,0,3
experiment0-3-0-2,0,3,0,2,counter/2/0/2,235.53333333333333,0,0,3
experiment0-3-0-2,0,3,0,2,counter/3/0/2,235.45,0,0,3
experiment0-3-0-4,0,3,0,4,counter/1/0/4,153.18333333333334,0,0,5
experiment0-3-0-4,0,3,0,4,counter/2/0/4,153.18333333333334,0,0,5
experiment0-3-0-4,0,3,0,4,counter/3/0/4,153.01666666666668,0,0,5
experiment0-3-1-0,0,3,1,0,counter/1/1/0,482.75,0,0,0
experiment0-3-1-0,0,3,1,0,counter/2/1/0,483.1166666666667,0,0,0
experiment0-3-1-0,0,3,1,0,counter/3/1/0,482.6666666666667,0,0,0
experiment0-3-1-1,0,3,1,1,counter/1/1/1,296.2,0,0,2
experiment0-3-1-1,0,3,1,1,counter/2/1/1,296.21666666666664,0,0,2
experiment0-3-1-1,0,3,1,1,counter/3/1/1,296.26666666666665,0,0,2
experiment0-3-1-2,0,3,1,2,counter/1/1/2,254,0,0,0
experiment0-3-1-2,0,3,1,2,counter/2/1/2,253.76666666666668,0,0,0
experiment0-3-1-2,0,3,1,2,counter/3/1/2,253.83333333333334,0,0,0
experiment0-3-1-4,0,3,1,4,counter/1/1/4,153.96666666666667,0,0,5
experiment0-3-1-4,0,3,1,4,counter/2/1/4,153.78333333333333,0,0,5
experiment0-3-1-4,0,3,1,4,counter/3/1/4,153.93333333333334,0,0,5
experiment0-3-2-0,0,3,2,0,counter/1/2/0,499.05,0,0,0
experiment0-3-2-0,0,3,2,0,counter/2/2/0,499.1,0,0,0
experiment0-3-2-0,0,3,2,0,counter/3/2/0,499.6666666666667,0.0033354457823288083,0,0
experiment0-3-2-1,0,3,2,1,counter/1/2/1,267.7,0,0,0
experiment0-3-2-1,0,3,2,1,counter/2/2/1,267.48333333333335,0,0,0
experiment0-3-2-1,0,3,2,1,counter/3/2/1,267.6666666666667,0,0,1
experiment0-3-2-2,0,3,2,2,counter/1/2/2,212.21666666666667,0,0,3
experiment0-3-2-2,0,3,2,2,counter/2/2/2,212.11666666666667,0,0,2
experiment0-3-2-2,0,3,2,2,counter/3/2/2,212.18333333333334,0,0,3
experiment0-3-2-4,0,3,2,4,counter/1/2/4,140.73333333333332,0,0,0
experiment0-3-2-4,0,3,2,4,counter/2/2/4,140.61666666666667,0,0,5
