experiment-id,analyser-qos,instancecount,publisher-qos,delay,nconnected-clients,avg-heap-size,max-heap-size,npub-msg-recv,npub-msg-sent,npub-msg-dropped
experiment0-1-0-0,0,1,0,0,0,0,0,0,0,0
experiment0-1-1-0,0,1,1,0,0,0,0,0,0,0
experiment0-1-2-0,0,1,2,0,0,0,0,0,0,0
experiment0-2-0-0,0,2,0,0,0,0,0,0,0,0
experiment0-2-1-0,0,2,1,0,0,0,0,0,0,0
experiment0-2-2-0,0,2,2,0,0,0,0,0,0,0
experiment0-3-0-0,0,3,0,0,0,0,0,0,0,0
experiment0-3-1-0,0,3,1,0,0,0,0,0,0,0
experiment0-3-2-0,0,3,2,0,0,0,0,0,0,0
experiment0-4-0-0,0,4,0,0,0,0,0,0,0,0
experiment0-4-1-0,0,4,1,0,0,0,0,0,0,0
experiment0-4-2-0,0,4,2,0,0,0,0,0,0,0
experiment0-5-0-0,0,5,0,0,0,0,0,0,0,0
experiment0-5-1-0,0,5,1,0,0,0,0,0,0,0
experiment0-5-2-0,0,5,2,0,0,0,0,0,0,0
experiment1-1-0-0,1,1,0,0,0,0,0,0,0,0
experiment1-1-1-0,1,1,1,0,0,0,0,0,0,0
experiment1-1-2-0,1,1,2,0,0,0,0,0,0,0
experiment1-2-0-0,1,2,0,0,0,0,0,0,0,0
experiment1-2-1-0,1,2,1,0,0,0,0,0,0,0
experiment1-2-2-0,1,2,2,0,0,0,0,0,0,0
experiment1-3-0-0,1,3,0,0,0,0,0,0,0,0
experiment1-3-1-0,1,3,1,0,0,0,0,0,0,0
experiment1-3-2-0,1,3,2,0,0,0,0,0,0,0
experiment1-4-0-0,1,4,0,0,0,0,0,0,0,0
experiment1-4-1-0,1,4,1,0,0,0,0,0,0,0
experiment1-4-2-0,1,4,2,0,0,0,0,0,0,0
experiment1-5-0-0,1,5,0,0,0,0,0,0,0,0
experiment1-5-1-0,1,5,1,0,0,0,0,0,0,0
experiment1-5-2-0,1,5,2,0,0,0,0,0,0,0
experiment2-1-0-0,2,1,0,0,0,0,0,0,0,0
experiment2-1-1-0,2,1,1,0,0,0,0,0,0,0
experiment2-1-2-0,2,1,2,0,0,0,0,0,0,0
experiment2-2-0-0,2,2,0,0,0,0,0,0,0,0
experiment2-2-1-0,2,2,1,0,0,0,0,0,0,0
experiment2-2-2-0,2,2,2,0,0,0,0,0,0,0
experiment2-3-0-0,2,3,0,0,0,0,0,0,0,0
experiment2-3-1-0,2,3,1,0,0,0,0,0,0,0
experiment2-3-2-0,2,3,2,0,0,0,0,0,0,0
experiment2-4-0-0,2,4,0,0,0,0,0,0,0,0
experiment2-4-1-0,2,4,1,0,0,0,0,0,0,0
experiment2-4-2-0,2,4,2,0,0,0,0,0,0,0
experiment2-5-0-0,2,5,0,0,0,0,0,0,0,0
experiment2-5-1-0,2,5,1,0,0,0,0,0,0,0
experiment2-5-2-0,2,5,2,0,0,0,0,0,0,0
