experiment-id,analyser-qos,instancecount,publisher-qos,delay,topic,message-rate,loss-rate,out-of-order-rate,inter-message-gap
experiment0-1-0-0,0,1,0,0,counter/1/0/0,668.8,0,542.2702702702703,0
experiment0-1-1-0,0,1,1,0,counter/1/1/0,0,100,0,0
experiment0-1-2-0,0,1,2,0,counter/1/2/0,0,100,0,0
experiment0-2-0-0,0,2,0,0,counter/1/0/0,0,100,0,0
experiment0-2-0-0,0,2,0,0,counter/2/0/0,0,100,0,0
experiment0-2-1-0,0,2,1,0,counter/1/1/0,0,100,0,0
experiment0-2-1-0,0,2,1,0,counter/2/1/0,0,100,0,0
experiment0-2-2-0,0,2,2,0,counter/1/2/0,0,100,0,0
experiment0-2-2-0,0,2,2,0,counter/2/2/0,0,100,0,0
experiment0-3-0-0,0,3,0,0,counter/1/0/0,460.1666666666667,67525968495898500,0,0
experiment0-3-0-0,0,3,0,0,counter/2/0/0,0,100,0,0
experiment0-3-0-0,0,3,0,0,counter/3/0/0,375.8666666666667,42.35468534328511,0,0
experiment0-3-1-0,0,3,1,0,counter/1/1/0,0,100,0,0
experiment0-3-1-0,0,3,1,0,counter/2/1/0,0,100,0,0
experiment0-3-1-0,0,3,1,0,counter/3/1/0,0,100,0,0
experiment0-3-2-0,0,3,2,0,counter/1/2/0,123.45,72.88600922468702,0,0
experiment0-3-2-0,0,3,2,0,counter/2/2/0,122.66666666666667,77.36290099344878,0,0
experiment0-3-2-0,0,3,2,0,counter/3/2/0,129.06666666666666,80.20551096569704,0,0
experiment0-4-0-0,0,4,0,0,counter/1/0/0,242.35,46.77135954315836,0,0
experiment0-4-0-0,0,4,0,0,counter/2/0/0,0,100,0,0
experiment0-4-0-0,0,4,0,0,counter/3/0/0,0,100,0,0
experiment0-4-0-0,0,4,0,0,counter/4/0/0,134.78333333333333,68.40398515335026,0,0
experiment0-4-1-0,0,4,1,0,counter/1/1/0,0,100,0,0
experiment0-4-1-0,0,4,1,0,counter/2/1/0,0,100,0,0
experiment0-4-1-0,0,4,1,0,counter/3/1/0,0,100,0,0
experiment0-4-1-0,0,4,1,0,counter/4/1/0,0,100,0,0
experiment0-4-2-0,0,4,2,0,counter/1/2/0,36.9,91.8954535471118,0,0
experiment0-4-2-0,0,4,2,0,counter/2/2/0,34.666666666666664,93.60255897640943,0,0
experiment0-4-2-0,0,4,2,0,counter/3/2/0,41.7,93.60462144062166,0,0
experiment0-4-2-0,0,4,2,0,counter/4/2/0,0,100,0,0
experiment0-5-0-0,0,5,0,0,counter/1/0/0,35.95,92.10410718207775,0,0
experiment0-5-0-0,0,5,0,0,counter/2/0/0,0,100,0,0
experiment0-5-0-0,0,5,0,0,counter/3/0/0,0,100,0,0
experiment0-5-0-0,0,5,0,0,counter/4/0/0,0,100,0,0
experiment0-5-0-0,0,5,0,0,counter/5/0/0,48.166666666666664,90.44722837404555,0,0
