experiment-id,analyser-qos,instancecount,publisher-qos,delay,topic,message-rate,loss-rate,out-of-order-rate,inter-message-gap
experiment0-1-0-0,0,1,0,0,counter/1/0/0,280,0,0,2
experiment0-1-0-1,0,1,0,1,counter/1/0/1,194,0,0,3
experiment0-1-0-2,0,1,0,2,counter/1/0/2,143,0,0,4
experiment0-1-0-4,0,1,0,4,counter/1/0/4,128,0,0,5
experiment0-1-1-0,0,1,1,0,counter/1/1/0,244,0,0,2
experiment0-1-1-1,0,1,1,1,counter/1/1/1,328,0,0,2
experiment0-1-1-2,0,1,1,2,counter/1/1/2,150,0,0,4
experiment0-1-1-4,0,1,1,4,counter/1/1/4,142,0,0,5
experiment0-1-2-0,0,1,2,0,counter/1/2/0,291,0,0,1
experiment0-1-2-1,0,1,2,1,counter/1/2/1,363,0,0,0
experiment0-1-2-2,0,1,2,2,counter/1/2/2,218,0,0,0
experiment0-1-2-4,0,1,2,4,counter/1/2/4,177,0,0,0
experiment0-2-0-0,0,2,0,0,counter/1/0/0,398,0,0,1
experiment0-2-0-0,0,2,0,0,counter/2/0/0,404,0,0,1
experiment0-2-0-1,0,2,0,1,counter/1/0/1,311,0,0,2
experiment0-2-0-1,0,2,0,1,counter/2/0/1,309,0,0,2
experiment0-2-0-2,0,2,0,2,counter/1/0/2,259,0,0,3
experiment0-2-0-2,0,2,0,2,counter/2/0/2,259,0,0,3
experiment0-2-0-4,0,2,0,4,counter/1/0/4,151,0,0,5
experiment0-2-0-4,0,2,0,4,counter/2/0/4,151,0,0,5
experiment0-2-1-0,0,2,1,0,counter/1/1/0,516,0,0,0
experiment0-2-1-0,0,2,1,0,counter/2/1/0,516,0,0,0
experiment0-2-1-1,0,2,1,1,counter/1/1/1,363,0,0,2
experiment0-2-1-1,0,2,1,1,counter/2/1/1,360,0,0,2
experiment0-2-1-2,0,2,1,2,counter/1/1/2,236,0,0,3
experiment0-2-1-2,0,2,1,2,counter/2/1/2,238,0,0,3
experiment0-2-1-4,0,2,1,4,counter/1/1/4,151,0,0,5
experiment0-2-1-4,0,2,1,4,counter/2/1/4,151,0,0,5
experiment0-2-2-0,0,2,2,0,counter/1/2/0,348,2.247191011235955,0,0
experiment0-2-2-0,0,2,2,0,counter/2/2/0,347,2.2535211267605635,0,0
experiment0-2-2-1,0,2,2,1,counter/1/2/1,242,0,0,0
experiment0-2-2-1,0,2,2,1,counter/2/2/1,244,0,0,0
experiment0-2-2-2,0,2,2,2,counter/1/2/2,286,0,0,0
experiment0-2-2-2,0,2,2,2,counter/2/2/2,285,0,0,0
experiment0-2-2-4,0,2,2,4,counter/1/2/4,146,0,0,5
experiment0-2-2-4,0,2,2,4,counter/2/2/4,146,0,0,5
experiment0-3-0-0,0,3,0,0,counter/1/0/0,493,0,0,1
experiment0-3-0-0,0,3,0,0,counter/2/0/0,492,0,0,1
experiment0-3-0-0,0,3,0,0,counter/3/0/0,490,0,0,1
experiment0-3-0-1,0,3,0,1,counter/1/0/1,288,0,0,2
experiment0-3-0-1,0,3,0,1,counter/2/0/1,287,0,0,2
experiment0-3-0-1,0,3,0,1,counter/3/0/1,287,0,0,2
experiment0-3-0-2,0,3,0,2,counter/1/0/2,211,0,0,3
experiment0-3-0-2,0,3,0,2,counter/2/0/2,212,0,0,3
experiment0-3-0-2,0,3,0,2,counter/3/0/2,212,0,0,3
experiment0-3-0-4,0,3,0,4,counter/1/0/4,142,0,0,5
experiment0-3-0-4,0,3,0,4,counter/2/0/4,141,0,0,5
experiment0-3-0-4,0,3,0,4,counter/3/0/4,141,0,0,5
experiment0-3-1-0,0,3,1,0,counter/1/1/0,508,0,0,1
experiment0-3-1-0,0,3,1,0,counter/2/1/0,511,0,0,1
experiment0-3-1-0,0,3,1,0,counter/3/1/0,509,0,0,1
experiment0-3-1-1,0,3,1,1,counter/1/1/1,333,0,0,0
experiment0-3-1-1,0,3,1,1,counter/2/1/1,333,0,0,0
experiment0-3-1-1,0,3,1,1,counter/3/1/1,332,0,0,0
experiment0-3-1-2,0,3,1,2,counter/1/1/2,258,0,0,0
experiment0-3-1-2,0,3,1,2,counter/2/1/2,258,0,0,0
experiment0-3-1-2,0,3,1,2,counter/3/1/2,258,0,0,0
experiment0-3-1-4,0,3,1,4,counter/1/1/4,170,0,0,5
experiment0-3-1-4,0,3,1,4,counter/2/1/4,170,0,0,5
experiment0-3-1-4,0,3,1,4,counter/3/1/4,170,0,0,5
experiment0-3-2-0,0,3,2,0,counter/1/2/0,522,0,0,1
experiment0-3-2-0,0,3,2,0,counter/2/2/0,524,0,0,0
experiment0-3-2-0,0,3,2,0,counter/3/2/0,523,0,0,0
experiment0-3-2-1,0,3,2,1,counter/1/2/1,224,0,0,2
experiment0-3-2-1,0,3,2,1,counter/2/2/1,224,0,0,2
experiment0-3-2-1,0,3,2,1,counter/3/2/1,224,0,0,2
experiment0-3-2-2,0,3,2,2,counter/1/2/2,279,0,0,3
experiment0-3-2-2,0,3,2,2,counter/2/2/2,278,0,0,0
experiment0-3-2-2,0,3,2,2,counter/3/2/2,277,0,0,0
experiment0-3-2-4,0,3,2,4,counter/1/2/4,174,0,0,0
experiment0-3-2-4,0,3,2,4,counter/2/2/4,174,0,0,0
experiment0-3-2-4,0,3,2,4,counter/3/2/4,174,0,0,0
experiment0-4-0-0,0,4,0,0,counter/1/0/0,536,0,0,1
experiment0-4-0-0,0,4,0,0,counter/2/0/0,534,0,0,1
experiment0-4-0-0,0,4,0,0,counter/3/0/0,538,0,0,1
experiment0-4-0-0,0,4,0,0,counter/4/0/0,535,0,0,1
experiment0-4-0-1,0,4,0,1,counter/1/0/1,390,0,0,2
experiment0-4-0-1,0,4,0,1,counter/2/0/1,390,0,0,2
experiment0-4-0-1,0,4,0,1,counter/3/0/1,390,0,0,2
experiment0-4-0-1,0,4,0,1,counter/4/0/1,391,0,0,2
experiment0-4-0-2,0,4,0,2,counter/1/0/2,248,0,0,3
experiment0-4-0-2,0,4,0,2,counter/2/0/2,248,0,0,3
experiment0-4-0-2,0,4,0,2,counter/3/0/2,247,0,0,3
experiment0-4-0-2,0,4,0,2,counter/4/0/2,248,0,0,3
